installationidentifier,account_holder,registry_code,installation_name,year,allocated,verified_emiss,nacerev2
8,Fernwärme St. Pölten GmbH,AT,FHKW Süd StW St. Pölten,2009,14294,15507,35.30
8,Fernwärme St. Pölten GmbH,AT,FHKW Süd StW St. Pölten,2010,14294,8462,35.30
8,Fernwärme St. Pölten GmbH,AT,FHKW Süd StW St. Pölten,2011,14294,1203,35.30
8,Fernwärme St. Pölten GmbH,AT,FHKW Süd StW St. Pölten,2012,14294,1704,35.30
8,Fernwärme St. Pölten GmbH,AT,FHKW Süd StW St. Pölten,2013,2566,2169,35.30
8,Fernwärme St. Pölten GmbH,AT,FHKW Süd StW St. Pölten,2014,2296,1467,35.30
8,Fernwärme St. Pölten GmbH,AT,FHKW Süd StW St. Pölten,2015,2034,1471,35.30
8,Fernwärme St. Pölten GmbH,AT,FHKW Süd StW St. Pölten,2016,1780,2634,35.30
8,Fernwärme St. Pölten GmbH,AT,FHKW Süd StW St. Pölten,2017,1535,3687,35.30
9,Fernwärme St. Pölten GmbH,AT,FHKW Nord StW St. Pölten,2009,52900,46566,35.30
9,Fernwärme St. Pölten GmbH,AT,FHKW Nord StW St. Pölten,2010,52900,31006,35.30
9,Fernwärme St. Pölten GmbH,AT,FHKW Nord StW St. Pölten,2011,52900,30788,35.30
9,Fernwärme St. Pölten GmbH,AT,FHKW Nord StW St. Pölten,2012,52900,30801,35.30
9,Fernwärme St. Pölten GmbH,AT,FHKW Nord StW St. Pölten,2013,35182,32431,35.30
9,Fernwärme St. Pölten GmbH,AT,FHKW Nord StW St. Pölten,2014,31484,30003,35.30
9,Fernwärme St. Pölten GmbH,AT,FHKW Nord StW St. Pölten,2015,27891,32831,35.30
9,Fernwärme St. Pölten GmbH,AT,FHKW Nord StW St. Pölten,2016,24412,34719,35.30
9,Fernwärme St. Pölten GmbH,AT,FHKW Nord StW St. Pölten,2017,21043,31624,35.30
58,Energie Steiermark Wärme GmbH,AT,FWZ Voitsberg,2009,20716,8034,35.30
58,Energie Steiermark Wärme GmbH,AT,FWZ Voitsberg,2010,20716,9032,35.30
58,Energie Steiermark Wärme GmbH,AT,FWZ Voitsberg,2011,20716,7786,35.30
58,Energie Steiermark Wärme GmbH,AT,FWZ Voitsberg,2012,20716,7698,35.30
58,Energie Steiermark Wärme GmbH,AT,FWZ Voitsberg,2013,6938,11838,35.30
58,Energie Steiermark Wärme GmbH,AT,FWZ Voitsberg,2014,11025,13314,35.30
58,Energie Steiermark Wärme GmbH,AT,FWZ Voitsberg,2015,9766,13251,35.30
58,Energie Steiermark Wärme GmbH,AT,FWZ Voitsberg,2016,8546,11680,35.30
58,Energie Steiermark Wärme GmbH,AT,FWZ Voitsberg,2017,7364,12376,35.30
60,Energie Steiermark Wärme GmbH,AT,FHKW Graz,2009,23903,20417,35.30
